Strain,Strain_rate,Stress,Temperature
96.458,0.01,0.0769,1323.15
96.9594,0.01,0.07896,1323.15
97.1262,0.01,0.08098,1323.15
97.4428,0.01,0.08299,1323.15
97.5672,0.01,0.08498,1323.15
97.9402,0.01,0.08691,1323.15
98.8002,0.01,0.08901,1323.15
98.3214,0.01,0.09098,1323.15
99.3506,0.01,0.09292,1323.15
100.06,0.01,0.09503,1323.15
99.314,0.01,0.09694,1323.15
100.6838,0.01,0.09898,1323.15
100.5744,0.01,0.1009,1323.15
101.53,0.01,0.10297,1323.15
101.822,0.01,0.10502,1323.15
101.85,0.01,0.10706,1323.15
101.58,0.01,0.10899,1323.15
102.09,0.01,0.111,1323.15
103.234,0.01,0.11301,1323.15
103.522,0.01,0.11513,1323.15
102.848,0.01,0.11701,1323.15
103.852,0.01,0.11902,1323.15
103.932,0.01,0.12107,1323.15
104.284,0.01,0.12306,1323.15
104.492,0.01,0.12504,1323.15
104.404,0.01,0.12702,1323.15
104.77,0.01,0.129,1323.15
105.344,0.01,0.13107,1323.15
105.844,0.01,0.13306,1323.15
105.656,0.01,0.13503,1323.15
105.956,0.01,0.13704,1323.15
106.048,0.01,0.13904,1323.15
106.532,0.01,0.14104,1323.15
106.5,0.01,0.14302,1323.15
106.584,0.01,0.14499,1323.15
106.46,0.01,0.14691,1323.15
107.592,0.01,0.149,1323.15
106.862,0.01,0.15094,1323.15
107.528,0.01,0.15297,1323.15
107.338,0.01,0.15496,1323.15
106.988,0.01,0.15688,1323.15
107.374,0.01,0.15886,1323.15
108.67,0.01,0.16098,1323.15
107.458,0.01,0.1629,1323.15
107.968,0.01,0.16492,1323.15
107.966,0.01,0.1669,1323.15
107.346,0.01,0.1689,1323.15
108.918,0.01,0.17093,1323.15
108.49,0.01,0.17304,1323.15
107.6,0.01,0.17492,1323.15
108.534,0.01,0.177,1323.15
108.592,0.01,0.17905,1323.15
107.396,0.01,0.1809,1323.15
109.518,0.01,0.18309,1323.15
107.776,0.01,0.18509,1323.15
107.948,0.01,0.18698,1323.15
108.718,0.01,0.18902,1323.15
108.924,0.01,0.1911,1323.15
108.682,0.01,0.19309,1323.15
108.264,0.01,0.19509,1323.15
108.502,0.01,0.19708,1323.15
108.334,0.01,0.19906,1323.15
109.68,0.01,0.20114,1323.15
108.596,0.01,0.20318,1323.15
108.514,0.01,0.20515,1323.15
108.892,0.01,0.20712,1323.15
108.834,0.01,0.20909,1323.15
109.03,0.01,0.21108,1323.15
109.006,0.01,0.21315,1323.15
108.236,0.01,0.21507,1323.15
109.382,0.01,0.21703,1323.15
109.408,0.01,0.21915,1323.15
109.476,0.01,0.22107,1323.15
110.004,0.01,0.2232,1323.15
109.442,0.01,0.22522,1323.15
109.028,0.01,0.22712,1323.15
108.982,0.01,0.2291,1323.15
109.906,0.01,0.2311,1323.15
110.084,0.01,0.23321,1323.15
109.046,0.01,0.23513,1323.15
109.824,0.01,0.23717,1323.15
108.85,0.01,0.23908,1323.15
110.202,0.01,0.24122,1323.15
109.318,0.01,0.2432,1323.15
109.304,0.01,0.24523,1323.15
108.578,0.01,0.24714,1323.15
109.406,0.01,0.24912,1323.15
109.684,0.01,0.25078,1323.15
108.994,0.01,0.25317,1323.15
109.622,0.01,0.25524,1323.15
109.54,0.01,0.25686,1323.15
108.678,0.01,0.2588,1323.15
108.758,0.01,0.2608,1323.15
108.684,0.01,0.26281,1323.15
108.776,0.01,0.26525,1323.15
108.924,0.01,0.26678,1323.15
108.802,0.01,0.26884,1323.15
108.47,0.01,0.27085,1323.15
108.424,0.01,0.27274,1323.15
108.508,0.01,0.27522,1323.15
109.162,0.01,0.27684,1323.15
107.458,0.01,0.27915,1323.15
108.944,0.01,0.2812,1323.15
109.62,0.01,0.28281,1323.15
108.596,0.01,0.28483,1323.15
108.758,0.01,0.28681,1323.15
108.522,0.01,0.28884,1323.15
108.386,0.01,0.29075,1323.15
108.398,0.01,0.29316,1323.15
109.022,0.01,0.2952,1323.15
108.712,0.01,0.29712,1323.15
109.01,0.01,0.29909,1323.15
108.88,0.01,0.30106,1323.15
109.394,0.01,0.30314,1323.15
108.556,0.01,0.30497,1323.15
108.876,0.01,0.3069,1323.15
109.136,0.01,0.30895,1323.15
109.07,0.01,0.31092,1323.15
108.266,0.01,0.31311,1323.15
109.856,0.01,0.31526,1323.15
109.448,0.01,0.31676,1323.15
108.982,0.01,0.31919,1323.15
109.282,0.01,0.3212,1323.15
109.118,0.01,0.32278,1323.15
108.78,0.01,0.32524,1323.15
108.716,0.01,0.32723,1323.15
108.972,0.01,0.32921,1323.15
109.504,0.01,0.33094,1323.15
108.766,0.01,0.33297,1323.15
108.454,0.01,0.335,1323.15
108.542,0.01,0.33705,1323.15
108.592,0.01,0.33915,1323.15
108.588,0.01,0.34119,1323.15
109.246,0.01,0.3428,1323.15
107.296,0.01,0.34522,1323.15
108.414,0.01,0.34682,1323.15
108.822,0.01,0.3489,1323.15
108.136,0.01,0.35095,1323.15
108.072,0.01,0.35294,1323.15
108.156,0.01,0.35498,1323.15
108.12,0.01,0.35699,1323.15
107.81,0.01,0.35895,1323.15
108.06,0.01,0.361,1323.15
107.436,0.01,0.36297,1323.15
107.562,0.01,0.36483,1323.15
108.508,0.01,0.36705,1323.15
107.374,0.01,0.36894,1323.15
107.604,0.01,0.37097,1323.15
107.902,0.01,0.37304,1323.15
107.454,0.01,0.37498,1323.15
107.196,0.01,0.37701,1323.15
107.252,0.01,0.37894,1323.15
107.296,0.01,0.38102,1323.15
106.536,0.01,0.38292,1323.15
106.936,0.01,0.38491,1323.15
107.836,0.01,0.38705,1323.15
106.814,0.01,0.38897,1323.15
107.092,0.01,0.39108,1323.15
106.294,0.01,0.39298,1323.15
106.638,0.01,0.395,1323.15
106.662,0.01,0.39704,1323.15
106.536,0.01,0.399,1323.15
106.514,0.01,0.40111,1323.15
106.064,0.01,0.40292,1323.15
106.424,0.01,0.40502,1323.15
106.748,0.01,0.40701,1323.15
106.954,0.01,0.40918,1323.15
105.964,0.01,0.41121,1323.15
105.416,0.01,0.41307,1323.15
105.138,0.01,0.41497,1323.15
106.234,0.01,0.41711,1323.15
105.2,0.01,0.41906,1323.15
105.24,0.01,0.42103,1323.15
105.642,0.01,0.42305,1323.15
105.576,0.01,0.42511,1323.15
105.066,0.01,0.42703,1323.15
105.226,0.01,0.42908,1323.15
105.188,0.01,0.43112,1323.15
104.238,0.01,0.43303,1323.15
104.948,0.01,0.43501,1323.15
105.284,0.01,0.4371,1323.15
104.55,0.01,0.4391,1323.15
104.68,0.01,0.44108,1323.15
104.616,0.01,0.44312,1323.15
103.684,0.01,0.44496,1323.15
104.63,0.01,0.44696,1323.15
104.678,0.01,0.44895,1323.15
104.168,0.01,0.45098,1323.15
103.62,0.01,0.45284,1323.15
103.722,0.01,0.45519,1323.15
103.502,0.01,0.45711,1323.15
103.912,0.01,0.45905,1323.15
103.736,0.01,0.46101,1323.15
103.684,0.01,0.46296,1323.15
103.364,0.01,0.46484,1323.15
103.36,0.01,0.46675,1323.15
103.112,0.01,0.46916,1323.15
103.434,0.01,0.47115,1323.15
102.764,0.01,0.473,1323.15
102.818,0.01,0.47487,1323.15
103.068,0.01,0.47692,1323.15
102.56,0.01,0.47887,1323.15
102.6,0.01,0.48087,1323.15
102.316,0.01,0.48283,1323.15
102.086,0.01,0.48485,1323.15
102.272,0.01,0.48721,1323.15
103.14,0.01,0.4891,1323.15
101.774,0.01,0.49112,1323.15
101.254,0.01,0.49314,1323.15
101.382,0.01,0.49524,1323.15
101.632,0.01,0.49677,1323.15
101.538,0.01,0.49894,1323.15
100.808,0.01,0.50102,1323.15
101.4,0.01,0.50321,1323.15
101.708,0.01,0.50496,1323.15
100.908,0.01,0.50702,1323.15
100.2422,0.01,0.50901,1323.15
100.9034,0.01,0.51111,1323.15
100.594,0.01,0.51316,1323.15
100.467,0.01,0.51477,1323.15
100.221,0.01,0.51677,1323.15
99.8602,0.01,0.51927,1323.15
99.9722,0.01,0.52079,1323.15
99.9924,0.01,0.52284,1323.15
99.9314,0.01,0.52488,1323.15
99.2204,0.01,0.52719,1323.15
100.1696,0.01,0.52886,1323.15
99.7788,0.01,0.53088,1323.15
98.8464,0.01,0.53285,1323.15
99.4404,0.01,0.53524,1323.15
100.1174,0.01,0.53695,1323.15
98.7992,0.01,0.53881,1323.15
98.6934,0.01,0.54081,1323.15
99.331,0.01,0.54289,1323.15
98.4916,0.01,0.54484,1323.15
98.5584,0.01,0.54681,1323.15
98.2288,0.01,0.54881,1323.15
99.1652,0.01,0.55093,1323.15
98.0486,0.01,0.55288,1323.15
98.2818,0.01,0.55488,1323.15
97.9758,0.01,0.55686,1323.15
98.0636,0.01,0.55891,1323.15
97.4758,0.01,0.56082,1323.15
98.4052,0.01,0.56295,1323.15
97.8736,0.01,0.56496,1323.15
97.4244,0.01,0.56688,1323.15
97.266,0.01,0.56894,1323.15
97.3056,0.01,0.5709,1323.15
97.2318,0.01,0.5729,1323.15
96.7726,0.01,0.57523,1323.15
97.7578,0.01,0.57687,1323.15
97.9724,0.01,0.57907,1323.15
96.422,0.01,0.58093,1323.15
96.268,0.01,0.58284,1323.15
97.025,0.01,0.5849,1323.15
96.6598,0.01,0.58686,1323.15
96.3854,0.01,0.5889,1323.15
96.8228,0.01,0.59087,1323.15
96.7788,0.01,0.59302,1323.15
96.2948,0.01,0.59494,1323.15
96.1094,0.01,0.59694,1323.15
95.8654,0.01,0.59888,1323.15
96.1234,0.01,0.60093,1323.15
95.865,0.01,0.6029,1323.15
95.959,0.01,0.60498,1323.15
95.2268,0.01,0.60687,1323.15
95.9108,0.01,0.60893,1323.15
95.8024,0.01,0.611,1323.15
95.1026,0.01,0.61283,1323.15
95.5634,0.01,0.61497,1323.15
94.8014,0.01,0.6169,1323.15
94.9832,0.01,0.61881,1323.15
95.4118,0.01,0.62086,1323.15
