,Strain,Strain_rate,Stress,Temperature,A_opt,alpha_opt,n_opt,Q_act_opt,sigma_pred,error,ln_A,Q_RT,ln_Strain_rate,abs_error
1591,0.14911,0.01,424.936,1123.15,1.218351024115705e+20,0.0277408258007183,1.0868980557035433,491022.16841453966,424.75911083295154,0.1768891670484436,46.249200184787135,52.58396355272742,-4.605170185988091,0.1768891670484436
1592,0.15115,0.01,423.274,1123.15,1.218351024115705e+20,0.0277408258007183,1.0868980557035433,491022.16841453966,424.75911083295154,-1.485110832951534,46.249200184787135,52.58396355272742,-4.605170185988091,1.485110832951534
1593,0.15313,0.01,421.778,1123.15,1.218351024115705e+20,0.0277408258007183,1.0868980557035433,491022.16841453966,424.75911083295154,-2.981110832951515,46.249200184787135,52.58396355272742,-4.605170185988091,2.981110832951515
1594,0.15506,0.01,422.076,1123.15,1.218351024115705e+20,0.0277408258007183,1.0868980557035433,491022.16841453966,424.75911083295154,-2.683110832951513,46.249200184787135,52.58396355272742,-4.605170185988091,2.683110832951513
1595,0.15712,0.01,421.506,1123.15,1.218351024115705e+20,0.0277408258007183,1.0868980557035433,491022.16841453966,424.75911083295154,-3.2531108329515632,46.249200184787135,52.58396355272742,-4.605170185988091,3.2531108329515632
1596,0.15917,0.01,420.608,1123.15,1.218351024115705e+20,0.0277408258007183,1.0868980557035433,491022.16841453966,424.75911083295154,-4.151110832951531,46.249200184787135,52.58396355272742,-4.605170185988091,4.151110832951531
1597,0.16122,0.01,420.402,1123.15,1.218351024115705e+20,0.0277408258007183,1.0868980557035433,491022.16841453966,424.75911083295154,-4.357110832951548,46.249200184787135,52.58396355272742,-4.605170185988091,4.357110832951548
1609,0.18516,0.01,410.928,1123.15,2.5180610635859712e+20,0.0294061765432366,3.0459261336944343,745443.6064925324,408.0048539773955,2.9231460226044987,46.975191046037445,79.83016237532526,-4.605170185988091,2.9231460226044987
1610,0.18717,0.01,412.132,1123.15,2.5180610635859712e+20,0.0294061765432366,3.0459261336944343,745443.6064925324,408.0048539773955,4.1271460226045065,46.975191046037445,79.83016237532526,-4.605170185988091,4.1271460226045065
1611,0.1892,0.01,410.802,1123.15,2.5180610635859712e+20,0.0294061765432366,3.0459261336944343,745443.6064925324,408.0048539773955,2.7971460226045224,46.975191046037445,79.83016237532526,-4.605170185988091,2.7971460226045224
1612,0.19115,0.01,410.606,1123.15,2.5180610635859712e+20,0.0294061765432366,3.0459261336944343,745443.6064925324,408.0048539773955,2.601146022604496,46.975191046037445,79.83016237532526,-4.605170185988091,2.601146022604496
1613,0.19323,0.01,410.12,1123.15,2.5180610635859712e+20,0.0294061765432366,3.0459261336944343,745443.6064925324,408.0048539773955,2.115146022604506,46.975191046037445,79.83016237532526,-4.605170185988091,2.115146022604506
1614,0.19516,0.01,407.798,1123.15,2.5180610635859712e+20,0.0294061765432366,3.0459261336944343,745443.6064925324,408.0048539773955,-0.2068539773954967,46.975191046037445,79.83016237532526,-4.605170185988091,0.2068539773954967
1615,0.19712,0.01,407.732,1123.15,2.5180610635859712e+20,0.0294061765432366,3.0459261336944343,745443.6064925324,408.0048539773955,-0.2728539773954708,46.975191046037445,79.83016237532526,-4.605170185988091,0.2728539773954708
1616,0.19914,0.01,408.408,1123.15,2.5180610635859712e+20,0.0294061765432366,3.0459261336944343,745443.6064925324,408.0048539773955,0.4031460226045169,46.975191046037445,79.83016237532526,-4.605170185988091,0.4031460226045169
1617,0.20122,0.01,408.168,1123.15,2.5180610635859712e+20,0.0294061765432366,3.0459261336944343,745443.6064925324,408.0048539773955,0.1631460226045078,46.975191046037445,79.83016237532526,-4.605170185988091,0.1631460226045078
1618,0.2032,0.01,406.176,1123.15,2.5180610635859712e+20,0.0294061765432366,3.0459261336944343,745443.6064925324,408.0048539773955,-1.8288539773955108,46.975191046037445,79.83016237532526,-4.605170185988091,1.8288539773955108
1619,0.20513,0.01,405.098,1123.15,2.5180610635859712e+20,0.0294061765432366,3.0459261336944343,745443.6064925324,408.0048539773955,-2.9068539773954853,46.975191046037445,79.83016237532526,-4.605170185988091,2.9068539773954853
1620,0.20714,0.01,404.912,1123.15,2.5180610635859712e+20,0.0294061765432366,3.0459261336944343,745443.6064925324,408.0048539773955,-3.092853977395521,46.975191046037445,79.83016237532526,-4.605170185988091,3.092853977395521
1621,0.20919,0.01,403.782,1123.15,2.5180610635859712e+20,0.0294061765432366,3.0459261336944343,745443.6064925324,408.0048539773955,-4.222853977395516,46.975191046037445,79.83016237532526,-4.605170185988091,4.222853977395516
1622,0.21113,0.01,403.876,1123.15,2.5180610635859712e+20,0.0294061765432366,3.0459261336944343,745443.6064925324,408.0048539773955,-4.128853977395522,46.975191046037445,79.83016237532526,-4.605170185988091,4.128853977395522
1623,0.21314,0.01,403.924,1123.15,2.5180610635859712e+20,0.0294061765432366,3.0459261336944343,745443.6064925324,408.0048539773955,-4.08085397739552,46.975191046037445,79.83016237532526,-4.605170185988091,4.08085397739552
1624,0.21475,0.01,403.446,1123.15,2.5180610635859712e+20,0.0294061765432366,3.0459261336944343,745443.6064925324,408.0048539773955,-4.558853977395472,46.975191046037445,79.83016237532526,-4.605170185988091,4.558853977395472
1639,0.24512,0.01,391.412,1123.15,1.1704851075609552e+20,0.0431544228129129,2.1506716817475704,740539.2817371644,387.0668622453842,4.345137754615791,46.20912014460566,79.30495424669898,-4.605170185988091,4.345137754615791
1642,0.25089,0.01,391.622,1123.15,1.1704851075609552e+20,0.0431544228129129,2.1506716817475704,740539.2817371644,387.0668622453842,4.555137754615828,46.20912014460566,79.30495424669898,-4.605170185988091,4.555137754615828
1643,0.25283,0.01,389.758,1123.15,1.1704851075609552e+20,0.0431544228129129,2.1506716817475704,740539.2817371644,387.0668622453842,2.691137754615795,46.20912014460566,79.30495424669898,-4.605170185988091,2.691137754615795
1644,0.2548,0.01,388.008,1123.15,1.1704851075609552e+20,0.0431544228129129,2.1506716817475704,740539.2817371644,387.0668622453842,0.9411377546157952,46.20912014460566,79.30495424669898,-4.605170185988091,0.9411377546157952
1645,0.25715,0.01,386.87,1123.15,1.1704851075609552e+20,0.0431544228129129,2.1506716817475704,740539.2817371644,387.0668622453842,-0.1968622453841817,46.20912014460566,79.30495424669898,-4.605170185988091,0.1968622453841817
1646,0.25924,0.01,388.578,1123.15,1.1704851075609552e+20,0.0431544228129129,2.1506716817475704,740539.2817371644,387.0668622453842,1.5111377546157885,46.20912014460566,79.30495424669898,-4.605170185988091,1.5111377546157885
1647,0.26078,0.01,387.854,1123.15,1.1704851075609552e+20,0.0431544228129129,2.1506716817475704,740539.2817371644,387.0668622453842,0.7871377546157987,46.20912014460566,79.30495424669898,-4.605170185988091,0.7871377546157987
1648,0.26278,0.01,387.31,1123.15,1.1704851075609552e+20,0.0431544228129129,2.1506716817475704,740539.2817371644,387.0668622453842,0.243137754615816,46.20912014460566,79.30495424669898,-4.605170185988091,0.243137754615816
1649,0.26486,0.01,386.286,1123.15,1.1704851075609552e+20,0.0431544228129129,2.1506716817475704,740539.2817371644,387.0668622453842,-0.7808622453841849,46.20912014460566,79.30495424669898,-4.605170185988091,0.7808622453841849
1650,0.2668,0.01,385.122,1123.15,1.1704851075609552e+20,0.0431544228129129,2.1506716817475704,740539.2817371644,387.0668622453842,-1.944862245384172,46.20912014460566,79.30495424669898,-4.605170185988091,1.944862245384172
1651,0.26876,0.01,383.998,1123.15,1.1704851075609552e+20,0.0431544228129129,2.1506716817475704,740539.2817371644,387.0668622453842,-3.068862245384196,46.20912014460566,79.30495424669898,-4.605170185988091,3.068862245384196
1652,0.27118,0.01,384.376,1123.15,1.1704851075609552e+20,0.0431544228129129,2.1506716817475704,740539.2817371644,387.0668622453842,-2.69086224538421,46.20912014460566,79.30495424669898,-4.605170185988091,2.69086224538421
1653,0.27279,0.01,384.526,1123.15,1.1704851075609552e+20,0.0431544228129129,2.1506716817475704,740539.2817371644,387.0668622453842,-2.540862245384176,46.20912014460566,79.30495424669898,-4.605170185988091,2.540862245384176
1656,0.27918,0.01,382.26,1123.15,1.1704851075609552e+20,0.0431544228129129,2.1506716817475704,740539.2817371644,387.0668622453842,-4.806862245384195,46.20912014460566,79.30495424669898,-4.605170185988091,4.806862245384195
1670,0.30713,0.01,372.322,1123.15,8.350540931852345e+19,0.0185476060988825,5.28243732715891,680400.0755735388,367.3926416435825,4.929358356417481,45.87144308590912,72.8645977242858,-4.605170185988091,4.929358356417481
1671,0.30913,0.01,372.232,1123.15,8.350540931852345e+19,0.0185476060988825,5.28243732715891,680400.0755735388,367.3926416435825,4.839358356417506,45.87144308590912,72.8645977242858,-4.605170185988091,4.839358356417506
1672,0.31103,0.01,370.408,1123.15,8.350540931852345e+19,0.0185476060988825,5.28243732715891,680400.0755735388,367.3926416435825,3.0153583564174937,45.87144308590912,72.8645977242858,-4.605170185988091,3.0153583564174937
1673,0.31306,0.01,371.244,1123.15,8.350540931852345e+19,0.0185476060988825,5.28243732715891,680400.0755735388,367.3926416435825,3.8513583564175065,45.87144308590912,72.8645977242858,-4.605170185988091,3.8513583564175065
