Strain,Strain_rate,Stress,Temperature
0.15908,0.01,189.39,1223.15
0.52301,0.1,117.888,1423.15
0.67115,0.01,259.764,1173.15
0.89056,0.1,232.5,1223.15
0.48498,0.5,199.146,1373.15
0.35905,1.0,351.666,1223.15
0.82951,0.5,279.022,1273.15
0.55687,0.5,254.606,1293.15
0.22312,0.01,399.92,1123.15
0.42721,0.5,336.852,1223.15
0.26293,1.0,476.84,1173.15
0.1831,0.5,292.046,1273.15
0.5029,1.0,494.416,1073.15
0.12704,0.01,71.5426,1423.15
0.17708,0.01,321.08,1173.15
0.5588,0.5,331.306,1223.15
0.73512,0.1,237.49,1223.15
0.73929,0.5,195.828,1373.15
0.71688,1.0,200.59,1373.15
0.59495,0.01,76.4386,1373.15
0.42306,0.5,287.038,1273.15
0.4591,0.5,500.524,1123.15
0.24671,0.1,256.3,1223.15
0.47317,0.5,199.19,1373.15
0.37084,0.5,524.342,1123.15
0.79714,1.0,264.86,1273.15
0.24919,0.01,93.831,1373.15
